area,corr,year
Idukki,"('77.55066456842857', '13.0013309')",2020
Pathanamthitta,"('77.5506945', '13.001255')",2020
Kottayam,"('77.5506953465249', '13.00116765')",2020
Malappuram,"('77.55070914643366', '13.00109025')",2020
Wayanad,"('77.55070805', '13.001012800000002')",2020
Hassan,"('77.55072855', '13.00092815')",2020
Shivamogga,"('77.55074311885497', '13.000847799999999')",2020
Chikmagalur,"('77.55075730348707', '13.0007631')",2020
Gurudatt Layout of Rajatrajeshwari Nagar,"('77.55077835332679', '13.00068045')",2020
Raichur,"('77.55080762003936', '13.000599950000002')","2019, 2017"
Yadagiri,"('77.55080724999999', '13.0005291')",2019
Bagalkot,"('77.5508213', '13.00044075')",2019
Belagavi,"('77.55083523144678', '13.00035645')",2019
Madikeri,"('77.5508463536076', '13.0002779')",2019
Shimoga,"('77.5508639', '13.0001907')","2019, 2017"
Mangaluru,"('77.55087879999999', '13.000110450000001')",2019
Sringeri,"('77.55089728375233', '13.00004045')",2019
Horanadu,"('77.5730228', '12.9894702')",2019
Balehonnur,"('77.57180767604359', '12.922817')",2019
300 houses in the low-lying areas of Hulimavu,"('77.57935971287161', '12.9349491')",2019
Karnataka,"('74.1424757', '14.8143303')",2019
North Karnataka,"('77.58823228616927', '12.931334750000001')",2019
Coastal Karnataka,"('77.5513865', '12.9998431')",2019
Malnad regions,"('77.60453998091435', '12.922309')",2019
Belgaum district,"('77.54718817933144', '13.00783435')",2019
coastal and Malnad regions,"('77.63935115000001', '12.980648949999999')",2019
Holealur,"('77.64269383637028', '12.91445305')",2019
Dharwad,"('77.6011747', '12.9035841')","2019, 2017"
Coorg,"('77.6011747', '12.9035841')",2019
Mysuru,"('74.1424757', '14.8143303')",2019
Doddabidarakallu,"('74.1424757', '14.8143303')",2019
Nagasandra,"('74.1424757', '14.8143303')","2019, 2017"
Bhavani Nagar,"('77.43724467948974', '12.9188905')",2019
Belmara Layout,"('74.1424757', '14.8143303')",2019
Chokkasandra ward,"('74.1424757', '14.8143303')",2019
Rukmini Nagar,"('77.5497095654263', '12.9219475')",2019
Anandappa Layout,"('77.5455438', '12.9055682')",2019
Muneshwara Layout,"('77.56708878729334', '12.901112600000001')",2019
Sringeri Sharada Peetham,"('77.57839574754473', '12.9002301')",2019
Chikkamagalur district,"('77.59033433878429', '12.897590600000001')",2019
Kodagu district,"('74.1424757', '14.8143303')",2019
Hampi,"('77.64608235098223', '12.9742028')",2019
Virupapura Gadde,"('74.1424757', '14.8143303')",2019
Rugi village,"('76.7565225', '15.7633887')",2019
Sony World Junction,"('74.1424757', '14.8143303')",2018
Koaramangala,"('74.1424757', '14.8143303')",2018
Bellandur Lake,"('77.5898165', '13.0626929')",2018
Bommasandra,"('74.1424757', '14.8143303')",2017
Krishnarajapuram,"('77.5580713', '12.8580811')",2017
Nelamangala,"('77.55955229173568', '12.88929715')",2017
South Bengaluru,"('77.50858049498666', '12.93104555')",2017
Yallappa Reddy,"('74.1424757', '14.8143303')",2017
Dollars Layout,"('74.1424757', '14.8143303')",2017
Electronic City,"('74.1424757', '14.8143303')",2017
Banaswadi,"('77.6152528', '12.9706556')",2017
Hennur,"('77.70274482561433', '12.99244045')",2017
Domlur,"('74.1424757', '14.8143303')",2017
Indiranagar,"('74.1424757', '14.8143303')","2017, 2016"
JP Nagar,"('74.1424757', '14.8143303')",2017
Yeshwanthpur,"('74.1424757', '14.8143303')",2017
Rajarajeshwari Nagar,"('74.1424757', '14.8143303')",2017
Hosur Road,"('74.1424757', '14.8143303')",2017
Mysore Road,"('50.58167134224853', '26.2291599')","2017, 2016"
